College,Major,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024
Alameda ,Accounting-050200,13,15,11,14,8,10,5,7,7,7
Alameda ,Anthropology-220200,2,1,1,0,0,1,2,2,2,4
Alameda ,Art-100200,2,2,2,5,2,1,0,5,1,6
Alameda ,Automotive Collision Repair-094900,14,3,26,14,1,8,6,5,2,3
Alameda ,Automotive Technology-094800,36,47,25,41,23,14,9,32,18,22
Alameda ,Aviation Airframe Mechanics-095010,22,23,28,28,36,39,25,33,44,38
Alameda ,Aviation Powerplant Mechanics-095020,4,22,36,18,49,32,45,37,31,31
Alameda ,Biological and Physical Sciences (and Mathematics)-490200,19,17,0,0,0,0,0,0,0,0
Alameda ,"Biology, General-040100",0,0,5,0,2,4,5,9,4,3
Alameda ,Business Administration-050500,46,41,48,63,50,49,40,28,26,30
Alameda ,Computer Information Systems-070200,5,4,11,11,8,3,2,5,2,2
Alameda ,Computer Networking-070810,0,0,0,0,0,0,0,1,0,0
Alameda ,Construction Inspection-095720,5,0,5,2,4,1,0,0,0,0
Alameda ,Database Design and Administration-070720,0,0,0,0,0,0,0,0,0,1
Alameda ,Dental Assistant-124010,24,25,40,22,32,32,19,19,16,31
Alameda ,Diesel Technology-094700,11,9,13,10,10,8,7,4,2,7
Alameda ,Economics-220400,0,0,0,0,0,5,6,4,2,51
Alameda ,English as a Second Language - Integrated-493087,0,0,0,0,0,26,5,2,6,8
Alameda ,English-150100,0,0,1,0,0,2,1,3,3,5
Alameda ,Ethnic Studies-220300,0,0,0,1,3,0,1,0,0,2
Alameda ,Fashion Design-130310,0,0,20,13,20,11,8,39,15,12
Alameda ,Fashion-130300,17,7,8,8,12,8,8,0,0,0
Alameda ,"Fine Arts, General-100100",1,1,0,2,3,1,3,3,1,1
Alameda ,Geography-220600,1,0,0,0,0,0,0,0,0,1
Alameda ,History-220500,1,2,5,4,3,3,2,1,1,4
Alameda ,Humanities-490300,75,87,0,0,0,0,2,0,0,0
Alameda ,Kinesiology-127000,0,0,0,0,0,0,0,0,2,1
Alameda ,"Liberal Arts and Sciences, General-490100",0,1,136,153,141,180,176,143,110,100
Alameda ,Logistics and Materials Transportation-051000,6,7,1,1,0,0,0,0,0,0
Alameda ,"Mathematics, General-170100",14,14,6,24,10,22,29,30,16,28
Alameda ,Political Science-220700,2,4,4,21,36,9,7,3,11,7
Alameda ,"Psychology, General-200100",12,33,40,37,46,32,36,31,22,32
Alameda ,Small Business and Entrepreneurship-050640,2,1,2,0,0,0,0,0,1,0
Alameda ,"Social Sciences, General-220100",0,1,1,0,0,0,0,0,0,0
Alameda ,Sociology-220800,9,25,21,39,49,26,37,40,19,19
Alameda ,Speech Communication-150600,9,8,14,10,12,6,9,5,2,7
Alameda ,Transfer Studies-490110,222,181,222,256,261,213,195,179,120,179
Allan Hancock ,Accounting-050200,10,8,35,32,49,24,30,20,34,29
Allan Hancock ,Administration of Justice-210500,43,61,59,64,88,82,108,71,53,86
Allan Hancock ,Administrative Medical Assisting-120820,0,0,12,0,11,16,12,3,5,16
Allan Hancock ,Agricultural Pest Control Adviser and Operator (Licensed)-010310,0,0,0,0,0,0,0,0,3,3
Allan Hancock ,"Agriculture Business, Sales and Service-011200",0,0,0,0,0,0,4,3,1,4
Allan Hancock ,"Agriculture Technology and Sciences, General-010100",0,0,0,0,3,5,7,6,7,21
Allan Hancock ,Alcohol and Controlled Substances-210440,32,19,75,51,47,31,35,58,37,94
Allan Hancock ,Animation-061440,2,2,6,9,5,7,2,3,1,5
Allan Hancock ,Anthropology-220200,0,3,3,4,1,6,7,1,2,1
Allan Hancock ,Applied Photography-101200,3,0,5,1,8,5,3,3,5,9
Allan Hancock ,Architectural Drafting-095310,2,1,7,11,7,5,5,4,8,21
Allan Hancock ,Art-100200,2,4,7,13,9,9,17,15,14,17
Allan Hancock ,Athletic Training and Sports Medicine-122800,0,0,1,0,0,2,0,1,1,2
Allan Hancock ,Automotive Collision Repair-094900,15,15,9,7,4,7,11,6,9,26
Allan Hancock ,Automotive Technology-094800,24,39,54,36,47,41,27,43,50,49
Allan Hancock ,Biological and Physical Sciences (and Mathematics)-490200,218,194,214,213,260,501,557,396,268,457
Allan Hancock ,"Biology, General-040100",10,13,11,14,16,22,30,19,14,13
Allan Hancock ,Business Administration-050500,76,77,104,69,103,124,153,107,94,114
Allan Hancock ,"Business and Commerce, General-050100",4,3,26,20,28,51,25,32,17,115
Allan Hancock ,Business Management-050600,14,13,9,17,15,14,14,12,14,12
Allan Hancock ,Ceramics-100230,0,0,0,0,0,0,0,0,0,2
Allan Hancock ,Certified Nurse Assistant-123030,0,0,83,83,88,75,58,58,31,80
Allan Hancock ,"Chemistry, General-190500",14,10,9,11,17,9,12,8,6,11
Allan Hancock ,Child Development/Early Care and Education-130500,23,15,24,32,41,50,47,30,39,45
Allan Hancock ,Children with Special Needs-130520,1,3,0,1,2,1,3,1,1,0
Allan Hancock ,Commercial Dance-100810,0,0,0,0,0,0,0,0,0,1
Allan Hancock ,Commercial Music-100500,0,3,4,2,2,2,2,2,2,7
Allan Hancock ,Computer Graphics and Digital Imagery-061460,5,6,7,8,11,0,0,0,0,0
Allan Hancock ,Computer Information Systems-070200,5,1,5,7,14,10,25,19,4,363
Allan Hancock ,Computer Networking-070810,1,1,2,2,6,7,4,8,5,3
Allan Hancock ,Computer Science (Transfer)-070600,15,17,25,22,22,12,27,32,22,49
Allan Hancock ,Cosmetology and Barbering-300700,38,7,24,19,34,27,39,43,52,25
Allan Hancock ,Culinary Arts-130630,0,0,13,8,4,7,6,7,3,22
Allan Hancock ,Customer Service-051800,0,0,1,5,0,1,8,2,4,8
Allan Hancock ,Dance-100800,3,4,3,3,7,3,7,3,1,4
Allan Hancock ,Dental Assistant-124010,29,30,44,35,37,4,61,33,40,34
Allan Hancock ,Dietetic Services and Management-130620,0,0,0,1,0,0,0,0,0,0
Allan Hancock ,Drafting Technology-095300,0,0,9,11,8,7,5,1,2,5
Allan Hancock ,Dramatic Arts-100700,28,32,27,18,34,34,6,5,2,28
Allan Hancock ,"Educational Aide (Teacher Assistant), Bilingual-080210",1,1,0,0,0,0,0,0,1,0
Allan Hancock ,Educational Aide (Teacher Assistant)-080200,0,0,0,0,0,0,0,2,0,0
Allan Hancock ,Electrocardiography-121500,0,0,15,24,18,0,19,17,24,22
Allan Hancock ,Electronics and Electric Technology-093400,0,0,2,6,3,10,1,1,5,5
Allan Hancock ,Emergency Medical Services-125000,4,2,70,66,59,67,53,62,61,71
Allan Hancock ,"Engineering Technology, General (requires Trigonometry)-092400",1,1,4,2,2,3,2,2,2,3
Allan Hancock ,"Engineering, General (requires Calculus) (Transfer)-090100",10,12,7,19,13,11,20,13,9,17
Allan Hancock ,English as a Second Language - Integrated-493087,2,1,39,46,31,25,8,10,21,71
Allan Hancock ,English-150100,4,9,13,15,14,12,22,18,19,17
Allan Hancock ,Environmental Technology-030300,0,4,34,11,30,28,17,16,22,50
Allan Hancock ,"Family and Consumer Sciences, General-130100",0,0,0,1,0,0,0,0,0,0
Allan Hancock ,Fashion Merchandising-130320,0,0,0,0,1,1,0,0,0,0
Allan Hancock ,Fashion-130300,4,4,2,11,20,39,2,11,12,20
Allan Hancock ,Film Production-061220,10,5,5,5,5,12,5,5,1,4
Allan Hancock ,Fire Academy-213350,0,0,51,59,53,21,63,43,47,60
Allan Hancock ,Fire Technology-213300,78,60,77,73,51,56,72,53,42,72
Allan Hancock ,Floriculture / Floristry-010920,4,0,2,6,3,7,0,1,9,2
Allan Hancock ,Geography-220600,0,0,0,0,0,0,0,0,1,0
Allan Hancock ,Graphic Art and Design-103000,0,0,0,0,0,7,8,10,6,11
Allan Hancock ,History-220500,6,14,11,6,8,22,25,21,16,19
Allan Hancock ,Home Health Aide-123080,0,0,38,46,31,52,0,17,11,24
Allan Hancock ,Horticulture-010900,19,0,5,14,0,1,3,0,0,0
Allan Hancock ,Hospitality-130700,0,0,0,0,0,0,12,18,0,0
Allan Hancock ,Human Services-210400,28,18,26,24,20,29,25,13,12,67
Allan Hancock ,Infants and Toddlers-130590,1,1,8,3,3,10,2,2,6,1
Allan Hancock ,"Information Technology, General-070100",5,7,5,1,6,12,0,1,0,0
Allan Hancock ,Interior Design and Merchandising-130200,0,0,1,0,2,0,2,5,2,5
Allan Hancock ,International Studies-221000,1,0,0,0,1,1,0,0,0,0
Allan Hancock ,Job Seeking/Changing Skills-493012,0,0,0,0,0,0,0,2,0,0
Allan Hancock ,Kinesiology-127000,5,19,18,18,20,31,30,14,24,31
Allan Hancock ,Legal Office Technology-051410,0,4,2,0,2,1,0,0,2,4
Allan Hancock ,"Liberal Arts and Sciences, General-490100",357,314,309,316,337,737,824,546,391,634
Allan Hancock ,Liberal Studies-490120,2,0,4,11,13,16,36,18,14,31
Allan Hancock ,Licensed Vocational Nursing-123020,63,53,63,52,55,63,53,66,61,68
Allan Hancock ,Machining and Machine Tools-095630,5,12,10,5,10,1,3,2,1,5
Allan Hancock ,Marketing and Distribution-050900,5,10,5,8,11,7,8,4,4,6
Allan Hancock ,"Mathematics, General-170100",63,35,40,53,47,63,54,54,39,90
Allan Hancock ,Medical Assisting-120800,24,23,18,36,26,0,39,14,2,39
Allan Hancock ,Multimedia-061410,1,2,3,7,1,2,2,2,1,3
Allan Hancock ,Music-100400,4,0,1,5,5,5,4,3,4,7
Allan Hancock ,"Nutrition, Foods, and Culinary Arts-130600",7,4,6,6,6,12,15,21,11,10
Allan Hancock ,Office Management-051440,0,0,0,0,0,0,0,6,7,8
Allan Hancock ,Office Technology/Office Computer Applications-051400,26,13,27,46,39,51,31,30,19,45
Allan Hancock ,Paralegal-140200,18,12,13,12,10,16,5,17,11,15
Allan Hancock ,Paramedic-125100,0,0,25,30,0,27,16,13,18,5
Allan Hancock ,Philosophy-150900,0,0,0,0,0,0,0,1,1,4
Allan Hancock ,Physical Education-083500,1,0,0,0,0,0,0,0,0,0
Allan Hancock ,"Physics, General-190200",21,14,13,21,28,12,21,19,14,32
Allan Hancock ,Plant Science-010300,0,0,0,0,0,1,4,12,6,6
Allan Hancock ,Police Academy-210550,0,0,0,0,0,33,22,2,42,60
Allan Hancock ,Political Science-220700,6,15,12,17,12,17,23,16,6,14
Allan Hancock ,"Psychology, General-200100",24,41,63,59,73,96,136,131,80,125
Allan Hancock ,Recreation-083600,15,21,23,20,25,20,11,19,17,24
Allan Hancock ,Registered Nursing-123010,32,35,34,35,34,32,32,33,32,49
Allan Hancock ,Restaurant and Food Services and Management-130710,0,1,8,2,1,1,5,3,13,13
Allan Hancock ,Sales and Salesmanship-050940,0,0,2,6,5,1,13,2,2,28
Allan Hancock ,Small Business and Entrepreneurship-050640,0,0,0,1,0,0,0,1,2,2
Allan Hancock ,"Social Sciences, General-220100",10,14,11,10,12,7,13,9,3,5
Allan Hancock ,Sociology-220800,8,15,22,21,30,27,65,28,28,57
Allan Hancock ,Spanish-110500,4,5,19,28,31,41,16,13,15,7
Allan Hancock ,Speech Communication-150600,30,18,16,24,18,14,25,14,14,22
Allan Hancock ,Technical Theater-100600,9,6,7,8,8,11,0,0,0,6
Allan Hancock ,Transfer Studies-490110,438,417,485,457,578,579,"1,340",908,935,"1,395"
Allan Hancock ,Truck and Bus Driving-094750,0,0,0,0,0,0,3,3,2,0
Allan Hancock ,Veterinary Technician (Licensed)-010210,3,8,18,5,15,18,8,3,6,22
Allan Hancock ,"Viticulture, Enology, and Wine Business-010400",11,17,18,18,18,15,18,12,4,8
Allan Hancock ,Website Design and Development-061430,0,0,3,2,0,1,0,0,2,5
Allan Hancock ,Welding Technology-095650,32,40,34,64,47,19,14,28,36,70
Allan Hancock ,Wildland Fire Technology-213310,0,0,1,0,0,0,0,3,3,14
American River ,Accounting-050200,60,55,52,57,67,55,71,78,56,62
American River ,Administration of Justice-210500,"1,710","1,999","1,991","1,133",977,74,72,76,82,40
American River ,Advertising-050910,0,2,0,0,1,0,0,0,0,0
American River ,Alcohol and Controlled Substances-210440,28,27,20,21,14,14,10,22,20,11
American River ,Alternative Fuels and Advanced Transportation Technology-094840,0,0,0,0,0,0,0,0,1,0
American River ,Animation-061440,12,4,14,8,6,1,5,4,0,1
American River ,Anthropology-220200,17,28,32,22,32,21,20,26,15,17
American River ,Applied Photography-101200,9,4,7,7,5,3,0,1,0,1
American River ,Art-100200,8,14,28,20,18,13,17,16,11,29
American River ,Automotive Collision Repair-094900,32,12,17,37,8,3,0,1,7,2
American River ,Automotive Technology-094800,114,90,87,94,82,46,12,11,24,22
American River ,Behavioral Science-200300,20,31,25,36,32,25,24,21,18,27
American River ,Biological and Physical Sciences (and Mathematics)-490200,340,368,406,360,383,381,354,367,295,317
American River ,"Biology, General-040100",0,0,0,0,11,18,22,13,20,34
American River ,Biomedical Instrumentation-093460,21,22,12,14,12,4,28,10,10,9
American River ,Biotechnology and Biomedical Technology-043000,25,13,21,15,20,9,6,7,6,2
American River ,Business Administration-050500,136,210,233,219,191,235,259,226,217,229
American River ,"Business and Commerce, General-050100",29,23,23,24,19,26,31,25,31,30
American River ,Business Management-050600,32,10,10,33,31,16,36,25,34,24
American River ,Carpentry-095210,18,29,23,48,36,177,2,12,3,491
American River ,Certified Nurse Assistant-123030,14,14,14,26,24,13,32,11,8,16
American River ,Child Development Administration and Management-130580,6,2,4,6,5,5,5,7,0,14
American River ,Child Development/Early Care and Education-130500,216,177,127,134,185,82,151,132,117,150
American River ,Children with Special Needs-130520,0,0,0,5,3,1,5,4,2,2
American River ,Commercial Music-100500,46,53,24,61,53,43,29,37,28,9
American River ,Computer Graphics and Digital Imagery-061460,3,2,1,1,2,3,5,9,2,2
American River ,Computer Infrastructure and Support-070800,12,21,17,18,21,13,18,21,19,37
American River ,Computer Networking-070810,23,38,19,19,29,14,23,24,39,21
American River ,Computer Programming-070710,20,19,34,25,42,21,27,29,29,14
American River ,Computer Science (Transfer)-070600,12,18,24,22,29,36,43,38,32,41
American River ,Computer Support-070820,8,14,7,7,5,7,6,12,11,0
American River ,Construction Crafts Technology-095200,51,68,0,2,2,0,0,0,0,1
American River ,Creative Writing-150700,8,8,0,2,3,0,2,0,0,0
American River ,Culinary Arts-130630,24,31,35,27,28,19,4,13,18,14
American River ,Dance-100800,1,0,0,1,1,2,6,0,3,0
American River ,Database Design and Administration-070720,11,10,5,6,5,4,4,10,5,8
American River ,Diesel Technology-094700,48,45,55,44,68,29,21,11,29,20
American River ,Dietetic Services and Management-130620,17,7,5,8,5,2,0,0,0,0
American River ,Digital Media-061400,20,16,20,22,28,16,20,27,16,21
American River ,Drafting Technology-095300,17,12,6,10,25,11,13,7,8,6
American River ,Dramatic Arts-100700,7,8,13,14,10,10,15,7,10,11
American River ,Drywall and Insulation-095280,4,7,12,39,18,50,0,60,0,177
American River ,Economics-220400,0,3,12,13,24,29,48,60,70,66
American River ,Electrical-095220,5,1,13,40,11,39,6,61,32,36
American River ,Electro-Mechanical Technology-093500,0,0,0,2,1,0,0,0,0,0
American River ,Electronics and Electric Technology-093400,158,144,102,116,98,54,58,47,40,33
American River ,Emergency Medical Services-125000,0,0,20,28,24,16,22,25,0,0
American River ,"Engineering Technology, General (requires Trigonometry)-092400",3,3,5,3,4,2,0,0,2,1
American River ,"Engineering, General (requires Calculus) (Transfer)-090100",0,0,0,8,24,29,23,29,22,24
American River ,English as a Second Language - Integrated-493087,6,16,0,2,0,0,0,3,26,2
American River ,English-150100,23,30,26,27,34,33,29,13,35,25
American River ,Fashion Design-130310,7,24,15,20,4,5,12,7,5,5
American River ,Fashion Merchandising-130320,2,13,6,7,3,1,2,4,6,1
American River ,Film History and Criticism-061210,7,3,6,6,0,0,0,0,0,0
American River ,Film Studies-061200,0,0,0,0,2,5,4,11,7,4
American River ,"Fine Arts, General-100100",1,7,10,10,4,11,12,9,8,10
American River ,Fire Academy-213350,0,0,0,0,0,0,0,0,0,40
American River ,Fire Technology-213300,19,13,7,19,27,28,40,37,27,25
American River ,Fitness Trainer-083520,2,6,3,5,4,2,2,0,0,0
American River ,"Foreign Languages, General-110100",110,103,118,105,105,83,70,59,42,51
American River ,Geographic Information Systems-220610,22,24,20,19,18,15,18,17,10,10
American River ,Geography-220600,2,4,3,0,3,6,3,3,5,6
American River ,Geology-191400,0,1,1,0,1,0,3,1,0,1
American River ,Gerontology-130900,14,17,5,3,21,8,7,24,4,4
American River ,Global Studies-221020,0,0,0,0,0,0,1,2,0,0
American River ,"Health Professions, Transfer Core Curriculum-126000",0,0,0,0,0,0,0,0,8,60
American River ,History-220500,5,24,20,17,11,20,17,20,10,25
American River ,Home Health Aide-123080,8,7,8,13,9,8,0,0,0,11
American River ,Horticulture-010900,17,8,15,11,10,4,3,1,4,7
American River ,Human Services-210400,34,38,26,29,20,24,20,35,28,15
American River ,Industrial Electronics-093420,9,1,3,5,4,0,1,2,2,2
American River ,Industrial Systems Technology and Maintenance-094500,0,0,0,0,0,0,0,2,0,11
American River ,Infants and Toddlers-130590,0,2,0,1,0,1,1,0,2,1
American River ,"Information Technology, General-070100",0,0,0,0,0,0,0,0,0,12
American River ,Interior Design and Merchandising-130200,20,24,12,12,10,19,11,10,21,15
American River ,International Studies-221000,3,1,4,3,0,2,2,3,2,0
American River ,Journalism-060200,10,8,13,11,5,7,5,8,8,1
American River ,Kinesiology-127000,3,11,16,21,14,23,18,19,17,15
American River ,Landscape Design and Maintenance-010910,8,12,9,19,23,7,12,7,8,1
American River ,Legal Office Technology-051410,0,1,1,0,0,1,0,4,2,0
American River ,"Liberal Arts and Sciences, General-490100",61,38,22,9,6,1,1,1,0,0
American River ,Liberal Studies-490120,0,0,1,0,0,1,0,0,0,0
American River ,Marketing and Distribution-050900,6,6,9,2,3,8,7,7,9,2
American River ,"Mathematics, General-170100",24,42,53,37,47,64,42,31,36,40
American River ,Mill and Cabinet Work-095250,0,0,0,0,0,5,0,3,0,7
American River ,Mortuary Science-125500,11,21,32,20,21,12,20,25,31,15
American River ,"Motorcycle, Outboard and Small Engine Repair-094830",0,0,0,0,0,0,0,0,0,1
American River ,Music-100400,8,9,7,6,5,6,4,16,6,5
American River ,Natural Resources-011500,27,21,34,44,33,28,38,28,37,21
American River ,Nursery Technology-010930,10,5,3,1,5,0,0,0,1,0
American River ,"Nutrition, Foods, and Culinary Arts-130600",0,0,0,2,2,5,10,5,2,4
American River ,Office Management-051440,0,0,1,2,5,1,0,1,4,2
American River ,Office Technology/Office Computer Applications-051400,31,10,6,9,18,4,10,12,9,4
American River ,Other Health Occupations-129900,5,19,89,21,38,24,18,16,4,11
American River ,Painting and Drawing-100210,3,2,1,0,0,0,0,0,0,0
American River ,"Painting, Decorating, and Flooring-095270",0,0,0,0,0,0,0,0,0,1
American River ,Paralegal-140200,43,55,50,43,69,55,69,84,113,66
American River ,Paramedic-125100,20,15,10,21,26,27,8,9,4,4
American River ,Philosophy-150900,0,0,0,1,6,6,2,1,3,2
American River ,Physical Education-083500,7,14,14,8,19,15,8,10,8,8
American River ,"Physical Sciences, General-190100",128,158,183,139,152,160,130,109,119,116
American River ,"Physics, General-190200",8,9,10,12,18,16,16,6,6,22
American River ,"Plumbing, Pipefitting and Steamfitting-095230",0,0,0,0,0,0,0,0,22,68
American River ,Police Academy-210550,49,97,88,25,55,0,0,0,0,0
American River ,Political Science-220700,13,14,16,19,20,27,29,31,20,19
American River ,"Psychology, General-200100",74,132,118,124,139,168,173,159,159,183
American River ,Real Estate-051100,10,12,7,10,16,8,14,17,11,18
American River ,Recreation-083600,1,0,4,0,1,3,3,1,1,2
American River ,Registered Nursing-123010,58,81,81,76,74,77,66,56,64,81
American River ,Respiratory Care/Therapy-121000,20,18,13,16,19,16,16,17,0,21
American River ,Restaurant and Food Services and Management-130710,33,21,50,63,28,22,16,20,20,35
American River ,Retail Store Operations and Management-050650,1,5,5,2,2,0,1,2,2,2
American River ,Sheet Metal and Structural Metal-095640,8,9,13,14,37,17,1,11,61,36
American River ,Sign Language Interpreting-085010,31,33,27,29,15,18,18,10,10,17
American River ,Sign Language-085000,11,2,9,11,13,11,19,7,9,11
American River ,Small Business and Entrepreneurship-050640,14,9,18,16,9,7,19,18,15,12
American River ,Social Justice: Ethnic Studies-220150,0,0,0,0,0,2,0,5,6,6
American River ,Social Justice: Gender Studies-220170,0,0,0,0,0,2,0,2,0,3
American River ,"Social Sciences, General-220100",572,608,619,565,558,606,451,411,397,400
American River ,Sociology-220800,14,23,24,36,35,41,50,45,41,39
American River ,Software Applications-070210,6,5,5,5,5,1,7,1,5,1
American River ,Spanish-110500,0,1,3,13,10,7,5,16,6,6
American River ,Speech Communication-150600,22,27,27,35,39,27,26,19,20,25
American River ,Speech/Language Pathology and Audiology-122000,16,18,16,22,19,23,21,25,37,36
American River ,Student Government-220710,0,0,0,0,1,0,0,0,0,0
American River ,Tax Studies-050210,6,6,1,7,1,0,4,8,5,11
American River ,Technical Communication-060700,3,2,0,0,1,0,1,0,0,0
American River ,Technical Theater-100600,3,5,8,4,4,5,3,4,1,3
American River ,Telecommunications Technology-093430,11,37,43,38,5,7,4,4,4,13
American River ,The School Age Child-130550,1,1,0,1,0,0,0,0,0,0
American River ,Transfer Studies-490110,779,999,978,976,865,818,733,799,776,838
American River ,Website Design and Development-061430,0,1,0,1,0,2,0,0,0,0
American River ,Welding Technology-095650,61,55,83,56,74,25,6,14,46,29
American River ,World Wide Web Administration-070900,14,11,7,5,5,1,0,4,7,1
Antelope Valley ,Accounting-050200,25,29,16,14,32,19,18,23,18,9
Antelope Valley ,Administration of Justice-210500,137,166,146,119,150,170,140,177,119,124
Antelope Valley ,Administrative Medical Assisting-120820,24,17,15,11,11,19,29,21,18,13
Antelope Valley ,Aeronautical and Aviation Technology-095000,23,11,14,12,25,10,23,33,39,52
Antelope Valley ,Aircraft Fabrication-095050,41,45,83,292,315,308,316,447,387,423
Antelope Valley ,Alcohol and Controlled Substances-210440,0,0,0,0,0,0,0,10,1,6
Antelope Valley ,Animation-061440,20,21,21,16,27,17,20,15,16,22
Antelope Valley ,Anthropology-220200,0,4,1,8,5,3,3,9,4,3
Antelope Valley ,Applied Photography-101200,25,20,31,18,18,14,18,20,13,29
Antelope Valley ,Art-100200,1,8,14,26,23,22,23,27,29,26
Antelope Valley ,Automotive Collision Repair-094900,33,20,20,23,37,14,1,39,20,55
Antelope Valley ,Automotive Technology-094800,20,7,10,15,8,24,3,12,0,11
Antelope Valley ,Aviation Airframe Mechanics-095010,25,15,30,15,18,13,21,45,15,16
Antelope Valley ,Aviation Powerplant Mechanics-095020,29,17,19,9,35,7,11,34,18,20
Antelope Valley ,Biological and Physical Sciences (and Mathematics)-490200,151,169,158,123,156,137,127,181,170,183
Antelope Valley ,"Biology, General-040100",20,48,61,65,101,70,55,70,57,47
Antelope Valley ,Business Administration-050500,95,153,160,173,128,104,123,150,120,109
Antelope Valley ,"Business and Commerce, General-050100",36,34,27,38,16,18,35,37,26,65
Antelope Valley ,Business Management-050600,12,5,11,6,5,2,0,0,0,2
Antelope Valley ,"Chemistry, General-190500",0,0,0,16,31,19,22,23,21,14
Antelope Valley ,Child Development Administration and Management-130580,0,0,0,0,0,0,0,0,0,23
Antelope Valley ,Child Development/Early Care and Education-130500,55,52,63,59,73,64,60,147,98,67
Antelope Valley ,Clinical Medical Assisting-120810,31,30,15,21,26,44,34,29,16,19
Antelope Valley ,Commercial Music-100500,7,7,2,6,32,7,9,5,18,13
Antelope Valley ,Computer Graphics and Digital Imagery-061460,31,30,33,22,26,22,37,24,32,33
Antelope Valley ,Computer Information Systems-070200,3,4,8,0,2,4,0,16,11,27
Antelope Valley ,Computer Networking-070810,21,21,24,29,28,26,20,26,12,21
Antelope Valley ,Computer Programming-070710,11,10,10,10,24,23,10,16,14,16
Antelope Valley ,Computer Science (Transfer)-070600,0,0,0,0,0,0,0,7,19,20
Antelope Valley ,Dance-100800,0,0,0,0,0,0,0,0,1,2
Antelope Valley ,Desktop Publishing-061450,9,2,2,5,4,0,2,2,0,4
Antelope Valley ,Drafting Technology-095300,10,3,1,3,2,0,0,1,13,6
Antelope Valley ,Dramatic Arts-100700,0,3,8,9,11,11,12,7,10,6
Antelope Valley ,Economics-220400,0,1,1,17,24,18,39,34,30,35
Antelope Valley ,Educational Aide (Teacher Assistant)-080200,9,9,17,6,3,14,4,6,5,7
Antelope Valley ,Electrical-095220,17,26,29,21,25,30,23,32,23,26
Antelope Valley ,Electronics and Electric Technology-093400,32,32,12,9,11,30,32,21,13,18
Antelope Valley ,"Engineering Technology, General (requires Trigonometry)-092400",0,0,6,2,2,0,0,0,0,0
Antelope Valley ,"Engineering, General (requires Calculus) (Transfer)-090100",0,0,1,3,17,15,21,20,33,28
Antelope Valley ,English as a Second Language - Integrated-493087,0,0,1,2,10,11,6,3,5,6
Antelope Valley ,English-150100,8,20,22,15,23,25,38,35,35,20
Antelope Valley ,Environmental Control Technology-094600,40,32,4,16,27,4,41,30,13,16
Antelope Valley ,"Family and Consumer Sciences, General-130100",2,4,4,3,2,1,1,1,0,0
Antelope Valley ,Fashion-130300,6,7,9,10,13,46,8,1,1,0
Antelope Valley ,"Fine Arts, General-100100",2,3,0,7,8,10,3,7,10,9
Antelope Valley ,Fire Academy-213350,27,21,25,18,27,0,0,0,0,3
Antelope Valley ,Fire Technology-213300,27,20,21,10,15,14,25,12,17,14
Antelope Valley ,Fitness Trainer-083520,0,0,20,16,19,2,2,2,3,2
Antelope Valley ,Geographic Information Systems-220610,3,2,0,1,0,0,0,3,0,0
Antelope Valley ,Geography-220600,0,1,3,4,2,0,4,0,2,1
Antelope Valley ,Geology-191400,0,0,0,0,0,1,0,1,1,0
Antelope Valley ,History-220500,5,15,10,16,17,17,12,13,26,14
Antelope Valley ,Horticulture-010900,8,8,4,4,9,12,5,1,7,1
Antelope Valley ,Humanities and Fine Arts-490310,113,110,91,110,0,0,0,0,0,0
Antelope Valley ,Industrial Electronics-093420,0,0,0,0,0,33,33,9,13,12
Antelope Valley ,Interior Design and Merchandising-130200,10,15,19,14,17,4,1,0,0,0
Antelope Valley ,Kinesiology-127000,0,3,14,18,23,20,12,15,23,13
Antelope Valley ,Landscape Design and Maintenance-010910,6,5,8,2,3,7,4,1,2,0
Antelope Valley ,"Law, General-140100",0,0,0,0,0,0,0,0,0,6
Antelope Valley ,"Liberal Arts and Sciences, General-490100",3,1,0,0,0,0,0,0,0,0
Antelope Valley ,"Library Science, General-160100",0,0,0,0,13,16,0,0,0,0
Antelope Valley ,Licensed Vocational Nursing-123020,0,9,0,10,0,10,9,23,17,18
Antelope Valley ,Manufacturing and Industrial Technology-095600,0,0,0,0,0,0,24,0,18,3
Antelope Valley ,Marketing and Distribution-050900,2,0,0,2,2,4,0,1,0,0
Antelope Valley ,"Mathematics, General-170100",31,56,42,48,85,89,60,38,39,41
Antelope Valley ,Medical Assisting-120800,18,12,7,12,17,25,22,25,14,19
Antelope Valley ,Multimedia-061410,14,17,9,11,10,13,7,4,2,8
Antelope Valley ,Music-100400,6,3,9,8,15,4,6,9,5,4
Antelope Valley ,Office Management-051440,0,0,0,0,0,0,0,0,1,21
Antelope Valley ,Office Technology/Office Computer Applications-051400,7,30,10,13,27,27,40,23,9,8
Antelope Valley ,Philosophy-150900,0,1,1,3,1,3,5,4,1,0
Antelope Valley ,Physical Education-083500,61,67,79,76,43,4,1,0,0,0
Antelope Valley ,"Physical Sciences, General-190100",13,41,33,31,49,8,1,0,0,0
Antelope Valley ,"Physics, General-190200",3,17,15,26,37,47,27,25,21,18
Antelope Valley ,Political Science-220700,9,13,9,20,23,25,17,18,15,19
Antelope Valley ,"Psychology, General-200100",1,36,48,68,78,100,109,97,103,88
Antelope Valley ,Radiologic Technology-122500,0,10,9,8,11,9,10,8,10,9
