,College,Sentiment,Rating
0,Cuyamaca College,0.35739338380461255,3.851304347826091
1,Grossmont College,0.35832603682449815,3.816608996539799
2,Imperial Valley College,0.3566306631622127,4.081674208144794
3,MiraCosta College,0.37619490937351774,3.915432098765438
4,Palomar College,0.3706711926898746,3.8887384948565296
5,San Diego City College,0.36807474944085783,3.96256983240224
6,San Diego Mesa College,0.37755109258754405,3.8217654986522915
7,San Diego Miramar College,0.3801100973309851,3.770818070818072
8,Southwestern College,0.36868917101387044,3.4189655172413795
9,Butte College,0.36642735462434534,3.8318857142857237
10,Feather River College,0.36868917101387044,3.682142857142857
11,Lassen Community College,0.36868917101387044,3.906521739130434
12,Mendocino College,0.3673715183235562,3.9940119760479034
13,College of the Redwoods,0.3592335039780263,3.896961325966849
14,Shasta College,0.36794292524653366,3.8541484716157175
15,College of the Siskiyous,0.36868917101387044,3.935483870967742
16,Lake Tahoe Community College,0.36868917101387044,4.152380952380954
17,American River College,0.3704201661428922,3.8395683453237437
18,Cosumnes River College,0.3650329695976074,3.801199563794987
19,Sacramento City College,0.3678736266937792,3.8179355783309004
20,Folsom Lake College,0.36860289946349317,3.7296482412060286
21,Napa Valley College,0.3620105513500053,3.855947136563875
22,Santa Rosa Junior College,0.3651458022306606,3.866960651289013
23,Sierra College,0.3654958846781695,3.8739209726443797
24,Solano Community College,0.3526165655359828,3.851511487303512
25,Yuba College,0.36614171586336963,3.870249999999997
26,Woodland Community College,0.3697605318909684,3.917431192660548
27,Contra Costa College,0.3693806878515757,3.9041176470588237
28,Diablo Valley College,0.3637668688285961,3.820870076425636
29,Los Medanos College,0.37678165474875114,3.816262482168335
30,College of Marin,0.36069758913860567,3.995577395577395
31,College of Alameda,0.3743878277255401,3.7482866043613696
32,Laney College,0.35341472884268077,3.7952380952380933
33,Merritt College,0.37282391741612875,3.714207650273224
34,Berkeley City College,0.36974284407770247,3.7669683257918556
35,City College of San Francisco,0.3679622085280281,3.778066914498146
36,Cañada College,0.3678079389603525,3.8605263157894707
37,College of San Mateo,0.35989437249209855,3.7651960784313734
38,Skyline College,0.36042434355718506,3.8956451612903265
39,Cabrillo College,0.3558370698835551,3.839673913043479
40,De Anza College,0.37695486161830455,3.8083236994219747
41,Foothill College,0.369902250643359,3.746044624746456
42,Ohlone College,0.3481263276794766,3.852201257861643
43,Gavilan College,0.3602216977403797,3.864264264264262
44,Hartnell College,0.3742483610098541,3.860334029227555
45,Monterey Peninsula College,0.36868917101387044,3.1142857142857143
